run,lb,inst_lumi_ub_s,collbunches,mu
507671,1,0.353471,900,0.002794099105775406
507671,2,0.353102,900,0.002791182253841214
507671,3,0.354672,1044,0.002416890265405314
507671,4,0.356078,1044,0.002426471364880773
507671,5,0.354952,1044,0.002418798307975107
507671,6,0.354905,1188,0.0021253291773522987
507671,7,0.355308,1188,0.002127742520806105
507671,8,0.354884,1296,0.0019481031350010154
507671,9,0.355065,1296,0.0019490967178828452
507671,10,0.355297,1404,0.00180034177899896
507671,11,0.356195,1404,0.0018048920761237345
507671,12,0.355648,1548,0.0016344812451816082
507671,13,0.355789,1548,0.001635129250668974
507671,14,0.356603,1548,0.0016388702185180205
507671,15,0.356287,1692,0.0014980632316753334
507671,16,0.357224,1836,0.001384198835405908
507671,17,0.358071,1836,0.001387480855688948
507671,18,0.357159,1908,0.001331722554538565
507671,19,0.357373,2016,0.0012611354605574258
507671,20,0.357896,2016,0.0012629810780099798
507671,21,0.358297,2016,0.0012643961690204464
507671,22,0.358624,2016,0.0012655501210414504
507671,23,0.358251,2016,0.0012642338393783479
507671,24,0.358473,2160,0.001180682772590287
507671,25,0.359195,2160,0.0011830607842168534
507671,26,0.358289,2160,0.001180076741926453
507671,27,0.358264,2160,0.0011799944008036496
507671,28,0.358715,2160,0.0011814798346590255
507671,29,0.358818,2160,0.001181819080084976
507671,30,0.359332,2304,0.0011095425127217035
507671,31,0.35985,2448,0.0010457806955596824
507671,32,0.359733,2448,0.0010454406751584583
507671,33,0.359936,2448,0.0010460306250853683
507671,34,0.360668,2448,0.0010481579322109754
507671,35,0.360967,2448,0.0010490268732363257
507671,36,0.361328,2448,0.0010500759960127522
507671,37,0.261848,2448,0.0007609714702540272
507671,38,0.265154,2448,0.0007705792262065639
507671,39,0.268715,2448,0.0007809280522643325
507671,40,0.267814,2448,0.0007783096045591794
507671,41,0.270121,2448,0.0007850141093935722
507671,42,0.273534,2448,0.0007949328241745786
507671,43,0.274193,2448,0.0007968479818190801
507671,44,0.279506,2448,0.0008122883954233835
507671,45,0.286809,2448,0.0008335120620057715
507671,46,0.292352,2448,0.0008496208917834216
507671,47,0.295355,2448,0.000858348082081506
507671,48,0.300469,2448,0.000873210170388001
507671,49,0.309078,2448,0.000898229278372087
507671,50,0.318105,2448,0.0009244631600972982
507671,51,0.325342,2448,0.0009454950202995086
507671,52,0.332084,2448,0.0009650883326503864
507671,53,0.329412,2448,0.0009573230804104654
507671,54,0.336092,2448,0.0009767362110102674
507671,55,0.344384,2448,0.0010008340671380455
507671,56,0.352696,2448,0.0010249900464113317
507671,57,0.360334,2448,0.0010471872756809852
507671,58,0.368568,2448,0.0010711165746867888
507671,59,0.377346,2448,0.0010966268232504208
507671,60,0.387698,2448,0.0011267113633655625
507671,61,0.400204,2448,0.001163055766251958
507671,62,0.412238,2448,0.0011980284629043555
507671,63,0.415425,2448,0.001207290386141117
507671,64,0.41468,2448,0.0012051252989709299
507671,65,0.413587,2448,0.0012019488690688963
507671,66,0.414171,2448,0.0012036460649177412
507671,67,0.413271,2448,0.0012010305233698638
507671,68,0.41456,2448,0.0012047765600978792
507671,69,0.416939,2448,0.0012116903082561024
507671,70,0.416533,2448,0.001210510408402282
507671,71,0.415743,2448,0.0012082145441547007
507671,72,0.421176,2448,0.0012240036966320543
507671,73,0.447866,2448,0.0013015690343129989
507671,74,0.458784,2448,0.0013332984594460284
507671,75,0.464371,2448,0.0013495351601437967
507671,76,0.481156,2448,0.001398315010011712
507671,77,0.47333,2448,0.0013755714231742794
507671,78,0.455849,2448,0.0013247688878426723
507671,79,0.453693,2448,0.001318503212756868
507671,80,0.454637,2448,0.001321246625224864
507671,81,804.963,2448,2.3393490788934517
507671,82,17561.4,2448,51.036190376550806
507671,83,16772.7,2448,48.74410413342749
507671,84,16499.8,2448,47.95101381296553
507671,85,16191.7,2448,47.055626756408806
507671,86,16789.0,2448,48.79147449701683
507671,87,17409.6,2448,50.59503570214212
507671,88,17396.3,2448,50.55638381037905
507671,89,17390.0,2448,50.53807501954391
507671,90,17377.4,2448,50.50145743787363
507671,91,17367.9,2448,50.47384894375715
507671,92,17356.5,2448,50.440718750817354
507671,93,17342.5,2448,50.400032548961484
507671,94,17331.5,2448,50.36806481893186
507671,95,17323.2,2448,50.34394371354589
507671,96,17317.0,2448,50.32592553843829
507671,97,17308.9,2448,50.30238566450739
507671,98,17285.2,2448,50.23350973707995
507671,99,17235.3,2448,50.08849248903652
507671,100,17203.9,2448,49.99723915058835
507671,101,17202.3,2448,49.99258929894768
507671,102,17624.7,2448,51.22015013208485
507671,103,18014.4,2448,52.35267962231581
507671,104,18192.9,2448,52.871428695978175
507671,105,18676.8,2448,54.27771820155363
507671,106,18913.6,2448,54.965896244372956
507671,107,19038.7,2448,55.32945651952793
507671,108,19303.3,2448,56.09842573460391
507671,109,19423.2,2448,56.446873991926694
507671,110,19407.0,2448,56.3997942440649
507671,111,19394.7,2448,56.364048509577245
507671,112,19368.7,2448,56.288488420416336
507671,113,18537.5,2448,53.8728904930877
507671,114,16232.0,2448,47.17274489460821
507671,115,17978.7,2448,52.24892980758332
507671,116,20457.3,2448,59.45213123043793
507671,117,21565.3,2448,62.67215349160266
507671,118,21552.1,2448,62.63379221556712
507671,119,21491.7,2448,62.4582603161318
507671,120,21444.4,2448,62.32079907700446
